start,ERGO_ID,Gene,E/N,length,transposon_insertions,assertion_error,SP_ID,functional_role,blattner_id,ERGO,eri
1901910,REC01776,manZ,N,286,"74, 78, 147, 219, 252",,P08188,"PTS system, mannose-specific IID component",b1819,MTR,0.16
1902825,REC01777,yobD,N,152,"42, 67, 72, 115",,P76263,Hypothetical protein yobD,b1820,UNC,0.03
1903658,REC01778,yebN,N,206,139,,P76264,Hypothetical protein yebN,b1821,UNC,0.25
1905084,REC05115,rrmA,X,269,-,,P36999,Ribosomal RNA large subunit methyltransferase A (EC 2.1.1.51),b1822,NAM,0.22
1905459,REC05116,cspC,X,69,-,,P36996,Cold shock-like protein cspC,b1823,UNC,0.72
1905615,REC05117,yobF,?,47,-,,P76265,Hypothetical protein yobF,b1824,UNC,0.00
1906572,REC05118,yebO,N,95,55,,P76266,Hypothetical protein yebO,b1825,UNC,0.00
1906790,REC05119,yobG,?,47,-,,P76267,Hypothetical protein yobG,b1826,UNC,0.00
1908123,REC05120,kdgR,N,263,"229, 236",,P76268,Transcriptional regulator kdgR,b1827,RCD,0.41
1908189,REC01785,yebQ,N,494,"443, 474",,P76269,Hypothetical transport protein yebQ,b1828,UNC,0.31
1910600,REC05121,htpX,N,293,"133, 157, 175, 178",,P23894,Probable protease htpX (EC 3.4.24.-),b1829,UNC,0.63
1912840,REC05122,prc,N,682,"21, 51, 238, 482, 682",,P23865,Tail-specific protease precursor (EC 3.4.21.-),b1830,MSM,0.84
1912979,REC05123,proQ,?,39,-,,P45577,ProP effector,b1831,UNC,0.09
1914206,REC05124,yebR,N,183,77,,P76270,Protein yebR,b1832,UNC,0.38
1914282,REC01790,yebS,N,427,"75, 194, 389",,P76271,Hypothetical protein yebS,b1833,UNC,0.13
1915528,REC01791,yebT,N,879,"265, 293, 316, 404, 433, 531, 608, 690, 777",,P76272,Hypothetical protein yebT,b1834,UNC,0.16
1918241,REC01792,yebU,N,481,"77, 132, 240, 415, 429",,P76273,Hypothetical protein yebU,b1835,UNC,0.09
1919789,REC01793,yebV,?,83,69,,P76274,Hypothetical protein yebV,b1836,UNC,0.00
1920061,REC01794,yebW,N,91,20,,P76275,Hypothetical protein yebW,b1837,UNC,0.00
1920996,REC05125,pphA,N,219,124,,P55798,Serine/threonine protein phosphatase 1 (EC 3.1.3.16),b1838,PMS,0.16
1921730,REC05126,yebY,E,113,-,0.37,P76277,Hypothetical protein yebY precursor,b1839,UNC,0.00
1922615,REC05127,yebZ,N,290,"57, 180, 198",,P76278,Hypothetical protein yebZ,b1840,UNC,0.06
1922993,REC05128,yobA,N,124,42,,P76279,Protein yobA precursor,b1841,UNC,0.00
1923132,REC01799,holE,?,76,-,,P28689,"DNA polymerase III, theta subunit (EC 2.7.7.7)",b1842,NAM,0.00
1923464,REC01800,yobB,N,218,"33, 68",,P76280,Hypothetical protein yobB,b1843,UNC,0.00
1924144,REC01801,exoX,N,220,42,,P76281,Exodeoxyribonuclease X (EC 3.1.11.-),b1844,NAM,0.00
1926863,REC05129,ptrB,N,686,"403, 578, 604, 654",,P24555,Protease II (EC 3.4.21.83),b1845,PMS,0.47
1927731,REC05130,yebE,E,219,-,< 0.2,P33218,Hypothetical protein yebE,b1846,UNC,0.22
1928426,REC05131,yebF,N,122,"72, 107, 115",,P33219,Hypothetical lipoprotein yebF precursor,b1847,UNC,0.00
1928771,REC05132,yebG,E,96,-,0.46,P33220,Hypothetical protein yebG,b1848,UNC,0.06
1928905,REC01806,purT,N,392,"66, 116",,P33221,Phosphoribosylglycinamide formyltransferase 2 (EC 2.1.2.-),b1849,NCM,0.22
1930780,REC05133,eda,N,213,"70, 109, 186",,P10177,KHG/KDPG aldolase,b1850,CHM,0.63
1932628,REC05134,edd,N,603,"163, 250, 341, 410, 426, 568",,P25530,Phosphogluconate dehydratase (EC 4.2.1.12),b1851,CHM,0.34
1934338,REC05135,zwf,E,491,-,< 0.01,P22992,Glucose-6-phosphate 1-dehydrogenase (EC 1.1.1.49),b1852,CHM,0.84
1934676,REC01810,hexR,N,289,"68, 87, 172, 268",,P46118,Hex regulon repressor,b1853,RCD,0.34
1935673,REC01811,pykA,N,480,"254, 286, 408, 477",,P21599,Pyruvate kinase II (EC 2.7.1.40),b1854,CHM,0.88
1938217,REC05136,msbB,N,323,"201, 260",,P24205,Lipid A biosynthesis (KDO)2-(lauroyl)-lipid IVA acyltransferase (EC 2.3.1.-),b1855,LPC,0.22
1939596,REC05137,yebA,N,419,"110, 223, 302",,P24204,Hypothetical protein yebA precursor,b1856,UNC,0.72
1940661,REC05138,znuA,N,328,"31, 49, 68",,P39172,High-affinity zinc uptake system protein znuA precursor,b1857,MTR,0.56
1940686,REC01815,znuC,N,251,154,,P52648,High-affinity zinc uptake system ATP-binding protein znuC,b1858,MTR,0.91
1941438,REC01816,znuB,N,261,"24, 84, 207",,P39832,High-affinity zinc uptake system membrane protein znuB,b1859,MTR,0.69
1943380,REC05139,ruvB,N,336,"22, 332",,P08577,Holliday junction DNA helicase ruvB,b1860,NAM,0.94
1944000,REC05140,ruvA,N,203,"2, 24, 141, 152",,P08576,Holliday junction DNA helicase ruvA,b1861,NAM,0.94
1944176,REC01819,yebB,N,233,"55, 112, 155, 205",,P24238,Hypothetical protein yebB,b1862,UNC,0.00
1945400,REC05141,ruvC,E,173,-,< 0.2,P24239,Crossover junction endodeoxyribonuclease ruvC (EC 3.1.22.4),b1863,NAM,0.72
1946175,REC05142,yebC,E,246,-,< 0.05,P24237,Protein yebC,b1864,UNC,0.88
1946656,REC05143,nudB,E,150,-,< 0.2,P24236,dATP pyrophosphohydrolase (EC 3.6.1.-),b1865,NCM,0.09
1948546,REC05144,aspS,E,590,-,< 0.001,P21889,Aspartyl-tRNA synthetase (EC 6.1.1.12),b1866,PMS,1.00
1948823,REC01824,yecD,N,199,"22, 87",,P37347,Hypothetical isochorismatase family protein yecD,b1867,UNC,0.38
1949419,REC01825,yecE,N,272,"24, 211, 213",,P37348,Hypothetical protein yecE,b1868,UNC,0.31
1950260,REC01826,yecN,N,141,"35, 40, 71",,P76289,Hypothetical protein yecN,b1869,UNC,0.06
1950726,REC01827,yecO,N,247,112,,P76290,Protein yecO,b1870,UNC,0.16
1951466,REC01828,yecP,E,323,282,< 0.1,P76291,Hypothetical protein yecP,b1871,UNC,0.19
1955049,REC05145,torZ,N,815,"127, 158, 300, 353",,P46923,Trimethylamine-N-oxide reductase 2 precursor (EC 1.6.6.9),b1872,SMC,0.09
1956156,REC05146,torY,N,366,"2, 45, 115, 337",,P52005,Cytochrome c-type protein torY,b1873,SMC,0.06
1956984,REC05147,cutC,E,146,-,0.39,P46719,Copper homeostasis protein cutC,b1874,UNC,0.28
1957876,REC05148,yecM,N,190,65,,P52007,Protein yecM,b1875,UNC,0.06
1958086,REC01833,argS,E,577,-,< 0.05,P11875,Arginyl-tRNA synthetase (EC 6.1.1.19),b1876,PMS,1.00
1959975,REC01834,yecT,N,169,"24, 32",,P76296,Hypothetical protein yecT,b1877,UNC,0.00
1960996,REC05149,flhE,N,130,-,,P76297,Flagellar protein flhE precursor,b1878,UNC,0.00
1963074,REC05150,flhA,N,692,-,,P76298,Flagellar biosynthesis protein flhA,b1879,SMC,0.59
1964215,REC05151,flhB,N,382,"129, 154, 266",,P76299,Flagellar biosynthetic protein flhB,b1880,SMC,0.59
1965061,REC05152,cheZ,N,214,114,,P07366,Chemotaxis protein cheZ,b1881,SMC,0.09
1965461,REC05153,cheY,N,129,62,,P06143,Chemotaxis protein cheY,b1882,SMC,0.50
1966525,REC05154,cheB,?,349,25,,P07330,Protein-glutamate methylesterase (EC 3.1.1.61),b1883,SMC,0.44
1967388,REC05155,cheR,E,286,-,< 0.05,P07364,Chemotaxis protein methyltransferase (EC 2.1.1.80),b1884,SMC,0.47
1969008,REC05156,tap,N,533,"54, 161, 205, 213, 320, 349, 481",,P07018,Methyl-accepting chemotaxis protein IV,b1885,SMC,0.63
1970715,REC05157,tar,N,553,"10, 40, 58, 82, 115, 145, 190, 220, 229, 351, 436, 446, 488",,P07017,Methyl-accepting chemotaxis protein II,b1886,SMC,0.63
1971363,REC05158,cheW,E,167,166,< 0.1,P07365,Chemotaxis protein cheW,b1887,SMC,0.41
1973348,REC05159,cheA,N,654,"90, 186, 233, 319, 322, 515, 527",,P07363,Chemotaxis protein cheA (EC 2.7.3.-),b1888,MSM,0.56
1974279,REC05160,motB,N,308,"168, 283",,P09349,Chemotaxis motB protein,b1889,SMC,0.50
1975163,REC05161,motA,E,295,-,< 0.05,P09348,Chemotaxis motA protein,b1890,SMC,0.53
1975868,REC05162,flhC,N,192,108,,P11165,Flagellar transcriptional activator flhC,b1891,RCD,0.03
1976230,REC05163,flhD,N,119,"14, 20, 67",,P11164,Flagellar transcriptional activator flhD,b1892,RCD,0.03
1977045,REC06654,insB6,N,167,"67, 158",,P03830,Insertion element IS1 1/5/6 protein insB,b3445,PHT,0.00
1977239,REC06655,insA6 ,X,91,-,,P03827,Insertion element IS1 1/2/3/5/6 protein insA,b3444,PHT,0.00
1977777,REC01852,yecG,E,142,-,0.33,P46888,Hypothetical protein yecG,b1895,UNC,0.06
1979636,REC05166,otsA,N,474,-,,P31677,"Alpha,alpha-trehalose-phosphate synthase [UDP-forming] (EC 2.4.1.15)",b1896,CHM,0.19
1980411,REC05167,otsB,N,266,-,,P31678,Trehalose-phosphatase (EC 3.1.3.12),b1897,CHM,0.13
1980838,REC05168,araH,N,86,-,,P08532,L-arabinose transport system permease protein araH,b1898,MTR,0.00
1981566,REC05169,araH,N,234,"14, 74, 205, 214",,P08532,L-arabinose transport system permease protein araH,,MTR,0.13
1983092,REC05170,araG,E,504,-,< 0.01,P08531,L-arabinose transport ATP-binding protein araG,b1900,MTR,0.06
1984151,REC05171,araF,E,329,"174, 308",< 0.05,P02924,L-arabinose-binding periplasmic protein precursor,b1901,MTR,0.09
1984948,REC01859,ftnB,N,167,"18, 47, 70, 124",,P52091,Ferritin-like protein 2,b1902,UNC,0.00
1985467,REC01860,,N,112,65,,P76307,FROM BASES 1975196 TO 1986052 (SECTION 173 OF 400) OF THE COMPLETE GENOME,b1903,UNC,0.00
1986245,REC01861,yecR,N,107,66,,P76308,Hypothetical protein yecR,b1904,UNC,0.00
1986739,REC01862,ftnA,N,165,"51, 76, 153",,P23887,Ferritin 1,b1905,NCM,0.28
1987513,REC05172,yecH,?,79,-,,P46887,Hypothetical protein yecH,b1906,UNC,0.00
1987704,REC01864,tyrP,N,403,"10, 34, 56, 223, 244, 334, 335, 360",,P18199,Tyrosine-specific transport protein,b1907,MTR,0.16
1989642,REC05173,yecA,N,221,166,,P06979,Hypothetical protein yecA,b1908,UNC,0.09
1990840,REC05174,pgsA,E,182,-,< 0.1,P06978,CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase (EC 2.7.8.5),b1912,LPC,0.94
1992663,REC05175,uvrC,N,588,"94, 145, 163, 257, 297, 442",,P07028,Excinuclease ABC subunit C,b1913,NAM,0.97
1993382,REC05176,uvrY,N,218,"8, 38, 96, 147, 173",,P07027,UvrY protein,b1914,UNC,0.31
1993841,REC01869,yecF,N,74,"1, 13, 69",,P46120,Hypothetical protein yecF,b1915,UNC,0.00
1994855,REC05177,sdiA,N,240,"51, 55, 74, 80, 97, 106, 118, 204",,P07026,Regulatory protein sdiA,b1916,RCD,0.19
1995837,REC05178,yecC,N,250,"27, 106, 194",,P37774,Hypothetical amino-acid ABC transporter ATP-binding protein yecC,b1917,UNC,0.34
1996502,REC05179,yecS,N,222,"47, 170, 207",,P76315,Hypothetical amino-acid ABC transporter permease protein yecS,b1918,UNC,0.66
1997599,REC05180,yedO,X,360,-,,P76316,Putative 1-aminocyclopropane-1-carboxylate deaminase (EC 4.1.99.4),b1919,UNC,0.19
1998408,REC05181,fliY,?,266,17,,P39174,Cystine-binding periplasmic protein precursor,b1920,MTR,0.53
1999083,REC05182,fliZ,N,195,"24, 165, 190",,P52627,FliZ protein,b1921,UNC,0.00
1999812,REC05183,fliA,N,239,"50, 84, 127, 154",,P31804,RNA polymerase sigma factor for flagellar operon,b1922,RCD,0.44
2001629,REC05184,fliC,N,498,"17, 21, 43, 114, 130, 166, 212, 297, 414",,P04949,Flagellin,b1923,SMC,0.53
2001895,REC01878,fliD,N,468,"24, 62, 139, 166, 208, 278, 325, 465",,P24216,Flagellar hook-associated protein 2,b1924,SMC,0.28
2003326,REC01879,fliS,N,136,61,,P26608,Flagellar protein fliS,b1925,UNC,0.31
2003736,REC01880,fliT,N,121,73,,P26610,Flagellar protein fliT,b1926,UNC,0.00
2004179,REC01881,amyA,N,495,"68, 115, 154, 165, 173, 200, 233, 240, 283, 335, 358, 391, 405, 425",,P26612,Cytoplasmic alpha-amylase (EC 3.2.1.1),b1927,CHM,0.09
2006113,REC05185,yedD,N,137,94,,P31063,Hypothetical lipoprotein yedD precursor,b1928,UNC,0.00
2006300,REC01883,yedE,E,401,249,< 0.001,P31064,Hypothetical protein yedE,b1929,UNC,0.06
2007502,REC01884,yedF,N,77,50,,P31065,Hypothetical protein yedF,b1930,UNC,0.09
2007844,REC01885,yedK,?,217,152,,P76318,Hypothetical protein yedK,b1931,UNC,0.22
2008622,REC01886,yedL,N,159,"18, 34, 77, 110, 142",,P76319,Hypothetical acetyltransferase yedL (EC 2.3.1.-),b1932,UNC,0.19
2009561,REC05186,yedN,?,63,-,,P76321,Hypothetical protein yedN,b1933,UNC,0.00
2009891,REC05187,yedN,N,106,20,,P76321,Hypothetical protein yedN,,UNC,0.00
2010373,REC05188,yedM,N,116,56,,P76322,Hypothetical protein yedM,b1935,UNC,0.00
2010524,REC01890,,N,92,33,,P76323,FROM BASES 2008529 TO 2019581 (SECTION 176 OF 400) OF THE COMPLETE GENOME,b1936,UNC,0.00
2011036,REC05189,fliE,X,104,-,,P25797,Flagellar hook-basal body complex protein fliE,b1937,SMC,0.28
2011251,REC01892,fliF,N,552,"183, 226, 452",,P25798,Flagellar M-ring protein,b1938,SMC,0.56
2012902,REC01893,fliG,N,331,"92, 211, 261",,P31067,Flagellar motor switch protein fliG,b1939,SMC,0.56
2013869,REC01894,fliH,N,235,"106, 167",,P31068,Flagellar assembly protein fliH,b1940,SMC,0.13
2014576,REC01895,fliI,N,457,"195, 269, 408",,P52612,Flagellum-specific ATP synthase (EC 3.6.3.14),b1941,SMC,1.00
2015968,REC01896,fliJ,E,147,146,< 0.3,P52613,Flagellar fliJ protein,b1942,SMC,0.09
2016408,REC01897,fliK,N,375,"62, 136, 221, 244, 328, 338",,P52614,Flagellar hook-length control protein,b1943,SMC,0.13
2017640,REC01898,fliL,E,154,-,< 0.2,P06973,Flagellar fliL protein,b1944,SMC,0.28
2018109,REC01899,fliM,N,334,"27, 195, 245",,P06974,Flagellar motor switch protein fliM,b1945,SMC,0.53
2019110,REC01900,fliN,E,137,-,< 0.2,P15070,Flagellar motor switch protein fliN,b1946,SMC,0.56
2019586,REC01901,fliO,N,101,42,,P22586,Flagellar protein fliO,b1947,SMC,0.06
2019891,REC01902,fliP,N,245,"10, 32, 217",,P33133,Flagellar biosynthetic protein fliP precursor,b1948,UNC,0.59
2020638,REC01903,fliQ,N,89,48,,P33134,Flagellar biosynthetic protein fliQ,b1949,SMC,0.41
2020915,REC01904,fliR,N,261,"184, 233",,P33135,Flagellar biosynthetic protein fliR,b1950,SMC,0.53
2021990,REC01905,rcsA,N,207,"12, 83, 142",,P24210,Colanic acid capsular biosynthesis activation protein A,b1951,SMC,0.00
2022993,REC01907,yodD,?,80,-,,P76328,Hypothetical protein yodD,b1953,UNC,0.00
2023533,REC01908,yedP,N,271,"53, 55, 153",,P76329,Hypothetical protein yedP,b1955,UNC,0.00
2026054,REC05191,yedQ,N,569,"74, 87",,P76330,Hypothetical protein yedQ,b1956,UNC,0.22
2026392,REC05192,yodC,?,60,-,,P76331,Hypothetical protein yodC,b1957,UNC,0.00
2027388,REC05193,yedI,N,305,"74, 211, 239, 298",,P46125,Hypothetical protein yedI,b1958,UNC,0.25
2027561,REC01912,yedA,N,306,125,,P09185,Hypothetical transport protein yedA,b1959,UNC,0.16
2028940,REC05194,vsr,N,156,90,,P09184,Very short patch repair protein (EC 3.1.-.-),b1960,UNC,0.09
2030339,REC05195,dcm,E,472,452,< 0.01,P11876,DNA-cytosine methyltransferase (EC 2.1.1.73),b1961,NAM,0.16
2031101,REC05196,yedJ,N,231,"3, 26, 170",,P46144,Hypothetical protein yedJ,b1962,UNC,0.19
2031524,REC05197,yedR,?,127,5,,P76334,Hypothetical protein yedR,b1963,UNC,0.00
2032043,REC01917,,N,171,"79, 85, 106, 118",,P76335,Potential outer membrane protein yedS precursor,b1964,UNC,0.00
2032568,REC01918,,?,69,-,,P76335,Potential outer membrane protein yedS precursor,b1965,UNC,0.00
2032861,REC01919,yedS,N,134,"79, 129",,P76335,DE: POTENTIAL OUTER MEMBRANE PROTEIN YEDS PRECURSOR.,b1966,UNC,0.00
2033857,REC01920,yedU,N,283,"3, 22, 44, 67, 98, 162, 228, 279",,P31658,Protein yedU,b1967,UNC,0.16
2036174,REC05198,yedV,N,452,"397, 438",,P76339,Putative sensor-like histidine kinase yedV (EC 2.7.3.-),b1968,UNC,0.03
2036893,REC05199,yedW,N,239,-,,P76340,Probable transcriptional regulatory protein yedW,b1969,UNC,0.81
2036978,REC01923,yedX,N,137,-,,P76341,Transthyretin-like protein precursor,b1970,UNC,0.31
2037500,REC01924,yedY,N,334,-,,P76342,Hypothetical protein yedY,b1971,UNC,0.31
2038505,REC01925,yedZ,N,211,"135, 173, 189",,P76343,Hypothetical protein yedZ,b1972,UNC,0.25
2039397,REC01926,yodA,N,216,"54, 61, 127, 208",,P76344,Hypothetical protein yodA,b1973,UNC,0.13
2040360,REC01927,yodB,N,186,"37, 104, 115, 154",,P76345,Cytochrome b561 homolog 1,b1974,UNC,0.31
2041634,REC01928,yeeI,E,278,259,< 0.05,P76346,Hypothetical protein yeeI,b1976,UNC,0.13
2042885,REC01929,yeeJ,N,2383,"69, 219, 370, 463, 595, 645, 758, 963, 1084, 1198, 1243, 1361, 1419, 1612, 1672, 1762, 1882, 1892, 2009, 2027, 2143, 2161, 2191, 2203, 2224, 2273, 2327, 2336, 2380",,P76347,Hypothetical protein yeeJ,b1978,UNC,0.00
2050624,REC05200,,?,108,80,,P76349,Hypothetical protein yeeL,b1979,UNC,0.00
2051350,REC05201,yeeL,X,234,-,,P76349,Hypothetical protein yeeL,b1980,UNC,0.00
2051665,REC01932,shiA,N,438,"315, 360, 378",,P76350,Shikimate transporter,b1981,MTR,0.41
2053083,REC01933,amn,N,484,"24, 60, 82, 117, 285, 293, 406, 424",,P15272,AMP nucleosidase (EC 3.2.2.4),b1982,NCM,0.28
2054880,REC01934,yeeN,N,238,79,,P76351,Hypothetical protein yeeN,b1983,UNC,0.16
2057868,REC06488,yeeO,?,547,-,,P76352,Hypothetical protein yeeO,b1985,UNC,0.22
2058936,REC05203,cbl,X,316,-,,Q47083,Transcriptional regulator cbl,b1987,UNC,0.72
2059955,REC05204,nac,N,305,"188, 265",,Q47005,Nitrogen assimilation regulatory protein nac,b1988,RCD,0.16
2061345,REC05205,erfK,N,310,"94, 251",,P39176,Protein erfK/srfK precursor,b1990,UNC,0.19
2062489,REC05206,cobT,N,359,"57, 117, 271, 323",,P36562,Nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase (EC 2.4.2.21),b1991,NCM,0.41
2063244,REC05207,cobS,N,247,194,,P36561,Cobalamin [5'-phosphate] synthase (EC 2.-.-.-),b1992,NCM,0.38
2063786,REC05208,cobU,N,181,"13, 61",,P46886,Bifunctional cobalamin biosynthesis protein cobU,b1993,NCM,0.47
2065343,REC05209,,N,338,247,,P03837,Transposase insH for insertion sequence element IS5,b1994,PHT,0.34
2066630,REC01943,,X,139,-,,P76356,O139,b1995,UNC,0.00
2067879,REC00345,insD3,X,301,-,,P19777,Transposase insD for insertion element IS2A/D/F/H/I/K,b1996,PHT,0.56
2068247,REC05211,insC3,X,136,-,,P19776,Transposase insC for insertion element IS2A/D/F/H/I/K,b1997,PHT,0.56
2068266,REC01946,,X,86,-,,P76358,FROM BASES 2060088 TO 2072764 (SECTION 181 OF 400) OF THE COMPLETE GENOME,b1998,UNC,0.00
2068523,REC01947,yeeP,N,236,"106, 135",,P76359,Hypothetical protein yeeP,b1999,UNC,0.00
2069405,REC01948,flu,N,1091,"74, 169, 201, 287, 359, 679, 811, 1003, 1077",,P39180,Antigen 43 precursor,b2000,UNC,0.00
2072795,REC01949,yeeR,N,512,"162, 477",,P76361,Hypothetical protein yeeR,b2001,UNC,0.00
2074330,REC01950,yeeS,N,148,"42, 97",,P76362,Putative radC-like protein yeeS,b2002,UNC,0.00
2074839,REC01951,yeeT,N,73,45,,P76363,Hypothetical protein yeeT,b2003,UNC,0.00
2075134,REC01952,yeeU,N,122,"89, 103",,P76364,Hypothetical protein yeeU,b2004,UNC,0.00
2075591,REC01953,yeeV,E,124,110,< 0.3,P76365,Hypothetical protein yeeV,b2005,UNC,0.00
2075962,REC01954,yeeW,?,64,61,,P76366,Hypothetical protein yeeW,b2006,UNC,0.00
2077449,REC05212,yeeX,N,131,"15, 49, 81, 96",,P76367,Hypothetical protein yeeX,b2007,UNC,0.13
2078613,REC05213,yeeA,N,352,"140, 146, 290",,P33011,Hypothetical protein yeeA,b2008,UNC,0.06
2079284,REC05214,gyrI,E,157,-,< 0.2,P33012,DNA gyrase inhibitory protein,b2009,RCD,0.00
2080575,REC05215,dacD,N,390,"66, 108, 309",,P33013,Penicillin-binding protein 6B precursor (EC 3.4.16.4),b2010,LPC,0.72
2080778,REC01959,sbcB,N,475,"52, 145, 151, 227, 266",,P04995,Exodeoxyribonuclease I (EC 3.1.11.1),b2011,NAM,0.19
2082475,REC05216,yeeD,?,75,-,,P33014,Hypothetical protein yeeD,b2012,UNC,0.09
2083547,REC05217,yeeE,N,352,291,,P33015,Hypothetical protein yeeE,b2013,UNC,0.09
2085090,REC05218,yeeF,X,454,-,,P33016,Hypothetical transport protein yeeF,b2014,UNC,0.34
2086301,REC05219,yeeY,X,316,-,,P76369,Hypothetical transcriptional regulator yeeY,b2015,UNC,0.72
2087150,REC05220,yeeZ,N,274,"12, 52, 109, 137, 191, 221",,P76370,Protein yeeZ precursor,b2016,UNC,0.25
2087487,REC06686,yoeB,?,84,-,,P56605,Hypothetical protein yoeB,,UNC,0.19
2087762,REC05221,yefM,X,92,59,,P46147,Hypothetical protein yefM,b2017,UNC,0.16
2088214,REC01967,hisG,X,299,-,,P10366,ATP phosphoribosyltransferase (EC 2.4.2.17),b2019,AAM,0.75
2089119,REC01968,hisD,N,434,"132, 171, 237, 335",,P06988,Histidinol dehydrogenase (EC 1.1.1.23),b2020,AAM,0.75
2090420,REC01969,hisC,N,356,"7, 141, 201",,P06986,Histidinol-phosphate aminotransferase (EC 2.6.1.9),b2021,AAM,0.78
2091487,REC01970,hisB,N,356,"94, 177, 272",,P06987,Histidine biosynthesis bifunctional protein hisB,b2022,AAM,0.75
2092557,REC01971,hisH,N,196,42,,P10375,Imidazole glycerol phosphate synthase subunit hisH (EC 2.4.2.-),b2023,AAM,0.75
2093144,REC01972,hisA,N,246,"123, 146, 216",,P10371,1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase (EC 5.3.1.16),b2024,AAM,0.75
2093866,REC01973,hisF,N,258,"102, 146, 161, 207",,P10373,Imidazole glycerol phosphate synthase subunit hisF (EC 4.1.3.-),b2025,AAM,0.75
2094636,REC06489,hisI,N,203,"40, 106, 133, 193",,P06989,Histidine biosynthesis bifunctional protein hisIE,b2026,AAM,0.75
2096359,REC05222,wzzB,N,338,"44, 143",,P76372,Chain length determinant protein,b2027,UNC,0.03
2097635,REC05223,ugd,N,388,"31, 83, 83, 119, 147, 180, 210, 217, 254, 268, 289, 311, 328, 349",,P76373,UDP-glucose 6-dehydrogenase (EC 1.1.1.22),b2028,SMC,0.59
2099290,REC05224,gnd,N,468,"103, 374, 401",,P00350,"6-phosphogluconate dehydrogenase, decarboxylating (EC 1.1.1.44)",b2029,CHM,0.69
2100933,REC04395,,?,338,284,,P03837,Transposase insH for insertion sequence element IS5,b2030,PHT,0.34
2101411,REC05226,wbbL,N,157,"26, 40, 109, 132",,P36667,Putative lipopolysaccharide biosynthesis glycosyl transferase wbbL (EC 2.-.-.-),b2031,UNC,0.00
2102531,REC05227,yefI,N,372,"32, 294",,P37751,Hypothetical protein yefI,b2032,UNC,0.00
2103106,REC05228,wbbJ,N,196,"84, 189",,P37750,Putative lipopolysaccharide biosynthesis O-acetyl transferase wbbJ (EC 2.3.1.-),b2033,UNC,0.00
2104079,REC05229,yefG,N,330,-,,P37749,Hypothetical protein yefG,b2034,UNC,0.03
2105248,REC05230,rfc,N,388,-,,P37748,O-antigen polymerase,b2035,UNC,0.00
2106351,REC05231,glf,X,367,-,,P37747,UDP-galactopyranose mutase (EC 5.4.99.9),b2036,CHM,0.22
2107606,REC05232,rfbX,N,415,"34, 74, 111, 186, 207, 281, 283, 306, 325, 328, 348, 375, 397",,P37746,Putative O-antigen transporter,b2037,UNC,0.09
2108160,REC05233,rfbC,N,185,"43, 89, 171",,P37745,"dTDP-4-dehydrorhamnose 3,5-epimerase (EC 5.1.3.13)",b2038,CHM,0.50
2109041,REC05234,rfbA,N,293,"27, 126, 186, 222",,P37744,Glucose-1-phosphate thymidylyltransferase (EC 2.7.7.24),b2039,MSM,0.59
2109998,REC05235,rfbD,N,299,"4, 20, 45, 80, 85, 105, 121, 154, 216",,P37760,dTDP-4-dehydrorhamnose reductase (EC 1.1.1.133),b2040,CHM,0.56
2111083,REC05236,rfbB,N,361,"48, 82, 89, 139, 184, 209, 234, 254, 295, 317, 345",,P37759,"dTDP-glucose 4,6-dehydratase (EC 4.2.1.46)",b2041,MSM,0.75
2112349,REC05237,galF,E,297,297,< 0.01,P78083,UTP--glucose-1-phosphate uridylyltransferase (EC 2.7.7.9),b2042,CHM,0.78
2113918,REC05238,wcaM,N,464,"47, 168, 192, 193, 235, 259, 303, 325, 439",,P71244,Colanic acid biosynthesis protein wcaM,b2043,UNC,0.00
2115149,REC05239,wcaL,N,406,"81, 200, 342",,P71243,Putative colanic acid biosynthesis glycosyl transferase wcaL (EC 2.-.-.-),b2044,UNC,0.47
2116426,REC05240,wcaK,N,426,"48, 148",,P71242,Colanic acid biosynthesis protein wcaK,b2045,UNC,0.03
2118180,REC05241,wzxC,N,492,"66, 165, 278, 406, 425, 450",,P77377,Lipopolysaccharide biosynthesis protein wzxC,b2046,LPC,0.25
2119576,REC05242,wcaJ,N,464,"63, 244, 327",,P71241,Putative colanic biosynthesis UDP-glucose lipid carrier transferase,b2047,UNC,0.69
2121001,REC05243,manB,N,456,"153, 222, 278, 338",,P24175,Phosphomannomutase (EC 5.4.2.8),b2048,CHM,0.88
2122542,REC05244,manC,N,478,"122, 168, 407, 425, 475",,P24174,Mannose-1-phosphate guanylyltransferase (EC 2.7.7.22),b2049,CHM,0.47
2123768,REC05245,wcaI,N,407,"13, 92, 396",,P32057,Putative colanic acid biosynthesis glycosyl transferase wcaI,b2050,UNC,0.22
2124247,REC05246,nudD,N,160,81,,P32056,GDP-mannose mannosyl hydrolase (EC 3.6.1.-),b2051,CHM,0.03
2125212,REC05247,fcl,N,321,"100, 171",,P32055,GDP-fucose synthetase,b2052,CHM,0.31
2126336,REC05248,gmd,N,373,"132, 142, 301, 353, 372",,P32054,"GDP-mannose 4,6-dehydratase (EC 4.2.1.47)",b2053,CHM,0.44
